Log file, Tree id within the log, Nr of nodes, Depth, Avg. depth
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62880,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae628a8,  6512,  7,  2.21
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae628d0,  104842,  71,  61.53
poke-threads12_iters3_dpu_alt0.txt,  t0,  190007,  37,  30.12
poke-threads12_iters3_dpu_alt0.txt,  t10,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t11,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t12,  3121,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t13,  96647,  53,  44.42
poke-threads12_iters3_dpu_alt0.txt,  t14,  57025,  35,  32.39
poke-threads12_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads12_iters3_dpu_alt0.txt,  t2,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t3,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t4,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t5,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t6,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t7,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t8,  1630,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  t9,  1630,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924700,  8,  3,  1.50
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924728,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924750,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924778,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db9247a0,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db9247c8,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db9247f0,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924818,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924840,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924868,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924890,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db9248b8,  3938,  7,  2.06
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db9248e0,  7676,  7,  2.18
poke-threads13_iters3_dpu_alt0.txt,  0x2b88db924908,  142140,  77,  66.86
poke-threads13_iters3_dpu_alt0.txt,  t0,  259153,  39,  31.64
poke-threads13_iters3_dpu_alt0.txt,  t10,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t11,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t12,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t13,  3691,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t14,  131507,  57,  47.79
poke-threads13_iters3_dpu_alt0.txt,  t15,  72670,  37,  34.37
poke-threads13_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads13_iters3_dpu_alt0.txt,  t2,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t3,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t4,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t5,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t6,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t7,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t8,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t9,  1921,  3,  2.00
