Log file, Tree id within the log, Nr of nodes, Depth, Avg. depth
multipc-prods4_workers4_dpu_alt0.txt,  t4,  12566,  5,  3.37
multipc-prods3_workers4_dpu_alt0.txt,  t4,  254,  5,  3.41
multipc-prods3_workers4_dpu_alt0.txt,  t2,  298,  5,  3.43
multipc-prods3_workers4_dpu_alt0.txt,  t3,  1366,  5,  3.48
multipc-prods3_workers4_dpu_alt0.txt,  t1,  3570,  5,  3.54
multipc-prods3_workers4_dpu_alt0.txt,  t0,  9,  8,  4.00
mpat-k4_dpu_alt0.txt,  t0,  10,  9,  4.50
multipc-prods4_workers4_dpu_alt0.txt,  t0,  10,  9,  4.50
multipc-prods4_workers4_dpu_alt0.txt,  t5,  17813,  7,  5.42
multipc-prods4_workers4_dpu_alt0.txt,  t6,  17813,  7,  5.42
multipc-prods4_workers4_dpu_alt0.txt,  t7,  17813,  7,  5.42
multipc-prods4_workers4_dpu_alt0.txt,  t8,  17813,  7,  5.42
mpat-k5_dpu_alt0.txt,  t0,  12,  11,  5.50
multipc-prods3_workers4_dpu_alt0.txt,  t7,  2992,  7,  5.82
multipc-prods3_workers4_dpu_alt0.txt,  t6,  3064,  7,  5.83
multipc-prods3_workers4_dpu_alt0.txt,  t5,  3280,  7,  5.84
mpat-k6_dpu_alt0.txt,  t0,  14,  13,  6.50
pi-threads6_iters2000_dpu_alt0.txt,  t0,  4347,  13,  10.37
pi-threads7_iters2000_dpu_alt0.txt,  t0,  34009,  15,  11.99
pi-threads8_iters2000_dpu_alt0.txt,  t0,  300979,  17,  13.60
dispatch-serv4_reqs3_dpu_alt0.txt,  t0,  4776,  23,  20.09
dispatch-serv4_reqs3_dpu_alt0.txt,  t5,  3570,  29,  24.47
dispatch-serv4_reqs4_dpu_alt0.txt,  t0,  40452,  29,  26.01
poke-threads10_iters3_dpu_alt0.txt,  t0,  93961,  33,  27.09
poke-threads10_iters3_dpu_alt0.txt,  t12,  32803,  31,  28.44
poke-threads11_iters3_dpu_alt0.txt,  t0,  135707,  35,  28.61
poke-threads12_iters3_dpu_alt0.txt,  t0,  190007,  37,  30.12
poke-threads11_iters3_dpu_alt0.txt,  t13,  43804,  33,  30.42
poke-threads13_iters3_dpu_alt0.txt,  t0,  259153,  39,  31.64
dispatch-serv4_reqs5_dpu_alt0.txt,  t0,  325672,  35,  31.94
poke-threads12_iters3_dpu_alt0.txt,  t14,  57025,  35,  32.39
dispatch-serv4_reqs4_dpu_alt0.txt,  t5,  31654,  39,  34.36
poke-threads13_iters3_dpu_alt0.txt,  t15,  72670,  37,  34.37
poke-threads10_iters3_dpu_alt0.txt,  t11,  48119,  45,  37.68
poke-threads11_iters3_dpu_alt0.txt,  t12,  69233,  49,  41.05
dispatch-serv4_reqs5_dpu_alt0.txt,  t5,  264690,  49,  44.27
poke-threads12_iters3_dpu_alt0.txt,  t13,  96647,  53,  44.42
poke-threads13_iters3_dpu_alt0.txt,  t14,  131507,  57,  47.79
